fold,test_start,test_end,total_return,annual_return,annual_volatility,sharpe_ratio,max_drawdown,win_rate,total_trades,buy_hold_return,excess_return
58,2024-05-28,2024-07-11,3.1678434564000124,9.72298525101742,3.9496158675917528,2.461754655889089,-0.6217261817843093,0.32,51,1.388940092165899,1.7789033642341134
59,2024-06-12,2024-07-29,1.5808537754000058,8.413407547603683,3.314471271907352,2.5383860222031998,-0.44329163948284983,0.3684210526315789,39,0.06471921430370184,1.516134561096304
60,2024-06-27,2024-08-12,0.4264942425000027,2.7376586777663814,1.7681772052894018,1.5482942940203226,-0.35428862564999974,0.3,40,0.678695868591339,-0.25220162609133634
61,2024-07-12,2024-08-28,1.327964019800004,4.635002084529964,1.8106168266910305,2.5599022477884525,-0.08571179726613984,0.21739130434782608,47,-0.4687833511205976,1.7967473709206017
62,2024-07-29,2024-09-11,0.1302726104000024,3.1500156337981564,2.049028585060389,1.5373214687023604,-0.4129716205337083,0.13043478260869565,47,-0.4761840141131768,0.6064566245131792
63,2024-08-13,2024-09-26,-0.47313057459999686,-0.2599723265190957,2.221193014266217,-0.11704175407060648,-0.7916951064895684,0.1,41,-0.013005371783997762,-0.4601252028159991
64,2024-08-28,2024-10-11,-0.08236107314999813,1.929608730912269,2.231220935075617,0.8648219011296046,-0.6216443551895905,0.2631578947368421,38,-0.11802277145237425,0.035661698302376116
65,2024-09-12,2024-10-28,-0.6351268034999987,2.2684155919606437,3.7120965262167696,0.6110874477373918,-0.6346870001499988,0.3333333333333333,42,-0.576094811388929,-0.05903199211106969
66,2024-09-26,2024-11-11,-0.6412270064999988,3.682331758467705,4.188684025509427,0.8791142363668409,-0.6469552359510411,0.3684210526315789,38,0.02839694656488549,-0.6696239530648842
67,2024-10-14,2024-11-28,0.5445668430500027,8.358573263692243,3.9605846701971976,2.1104392304977715,-0.5035073748361995,0.22727272727272727,45,1.0646939367566,-0.5201270937065973
68,2024-10-28,2024-12-12,2.1639693580500063,14.749275720148024,4.418681140632422,3.3379361965088616,-0.5018482997700114,0.3333333333333333,49,-0.3009174311926605,2.4648867892426667
69,2024-11-12,2024-12-30,0.6587233488500038,7.876495913719611,3.6967508480332456,2.1306537111934616,-0.6876006955650458,0.2692307692307692,53,0.005190567996440669,0.6535327808535631
70,2024-11-28,2025-01-13,-0.09827143609999467,6.781676215208471,3.374453639672161,2.009710886372507,-0.6832715007491034,0.32,51,0.01692399049881236,-0.11519542659880702
71,2024-12-13,2025-01-28,-0.4172210755999995,-1.0479565022950699,1.4503696953871428,-0.7225444006642334,-0.44012409947680325,0.14285714285714285,15,-0.10144553433144037,-0.3157755412685591
72,2024-12-30,2025-02-10,-0.41241123884999814,1.0211067413628996,2.595797278720651,0.3933692163612083,-0.4529089911628691,0.35,40,-0.06964091403699661,-0.3427703248130015
73,2025-01-14,2025-02-25,-0.17758401034999793,4.023663748664932,3.288416445150949,1.2235870412940453,-0.6872064603648914,0.2727272727272727,45,0.6932011331444762,-0.8707851434944741
74,2025-01-28,2025-03-12,-0.32427194159999817,1.8826974307981392,2.837802205047773,0.6634350440102097,-0.4931234144636785,0.2857142857142857,42,-0.18226672471339422,-0.14200521688660395
75,2025-02-11,2025-03-28,-0.5844517213499987,0.7890925325739034,3.110334166418549,0.25370024259564317,-0.7027377457404029,0.3181818181818182,44,-0.582002457002457,-0.0024492643475416687
76,2025-02-25,2025-04-16,-0.476091618049999,3.3657873743326165,3.1614641286848153,1.0646293101332138,-0.6671911749213298,0.47619047619047616,43,-0.02427821522309718,-0.4518134028269018
77,2025-03-13,2025-05-05,0.2504678038500019,6.33661628312271,3.549901834862041,1.7850116926878257,-0.6022304446617049,0.44,50,-0.4817531305903399,0.7322209344403419
78,2025-03-28,2025-05-19,0.12617344365000221,5.309543724864874,3.3214187092285323,1.5985770508585242,-0.5150152804146045,0.34615384615384615,52,0.014459930313588821,0.1117135133364134
79,2025-04-17,2025-06-03,-0.24951788159999722,3.711129284396648,3.364562406965017,1.103005037657854,-0.7274165658840399,0.16,50,0.08017334777898154,-0.32969122937897877
80,2025-05-05,2025-06-17,0.3459691139500012,1.2452355141563674,2.289866457835515,0.543802678927146,-0.6451479955975772,0.22727272727272727,45,0.19236641221374043,0.15360270173626075
